date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:35:30	14747/14747	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/short-remedial-course.html	debser/debian-handbook.info/browse/stable/short-remedial-course.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:31	9379/9379	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.filesystem-hierarchy.html	debser/debian-handbook.info/browse/stable/sect.filesystem-hierarchy.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:32	12848/12848	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.computer-layers.html	debser/debian-handbook.info/browse/stable/sect.computer-layers.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:33	15437/15437	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.kernel-role-and-tasks.html	debser/debian-handbook.info/browse/stable/sect.kernel-role-and-tasks.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:34	16122/16122	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.user-space.html	debser/debian-handbook.info/browse/stable/sect.user-space.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:34	24382/24382	---M--	200	added ('OK')	text/css	etag:%225ae035eb-5f3e%22	https://debian-handbook.info/browse/stable/Common_Content/css/common.css	debser/debian-handbook.info/browse/stable/Common_Content/css/common.css	(from https://debian-handbook.info/browse/stable/Common_Content/css/default.css)
19:35:35	2711/2711	---M--	200	added ('OK')	text/css	etag:%225ae035eb-a97%22	https://debian-handbook.info/browse/stable/Common_Content/css/overrides.css	debser/debian-handbook.info/browse/stable/Common_Content/css/overrides.css	(from https://debian-handbook.info/browse/stable/Common_Content/css/default.css)
19:35:36	98/98	---M--	200	added ('OK')	text/css	etag:%225ae035eb-62%22	https://debian-handbook.info/browse/stable/Common_Content/css/lang.css	debser/debian-handbook.info/browse/stable/Common_Content/css/lang.css	(from https://debian-handbook.info/browse/stable/Common_Content/css/default.css)
19:35:39	85298/85298	---M--	200	added ('OK')	image/png	etag:%225ae035eb-14d32%22	https://debian-handbook.info/browse/stable/images/autobuilder.png	debser/debian-handbook.info/browse/stable/images/autobuilder.png	(from https://debian-handbook.info/browse/stable/sect.release-lifecycle.html)
19:35:41	54652/54652	---M--	200	added ('OK')	image/png	etag:%225ae035eb-d57c%22	https://debian-handbook.info/browse/stable/images/release-cycle.png	debser/debian-handbook.info/browse/stable/images/release-cycle.png	(from https://debian-handbook.info/browse/stable/sect.release-lifecycle.html)
